area,Charactertpe,dist,ene_speed,hero_speed,ene_mode,ene_success
terrain,enemy,86.69352,3,2,seek,FALSE
terrain,enemy,85.65634,3,2,seek,FALSE
terrain,enemy,84.62082,3,2,seek,FALSE
terrain,enemy,83.58688,3,2,seek,FALSE
terrain,enemy,82.554535,3,2,seek,FALSE
terrain,enemy,81.52366,3,2,seek,FALSE
terrain,enemy,80.49421,3,2,seek,FALSE
terrain,enemy,79.46617,3,2,seek,FALSE
terrain,enemy,78.43947,3,2,seek,FALSE
terrain,enemy,77.414055,3,2,seek,FALSE
terrain,enemy,76.389885,3,2,seek,FALSE
terrain,enemy,75.36691,3,2,seek,FALSE
terrain,enemy,74.345116,3,2,seek,FALSE
terrain,enemy,73.32443,3,2,seek,FALSE
terrain,enemy,72.30483,3,2,seek,FALSE
terrain,enemy,71.286255,3,2,seek,FALSE
terrain,enemy,70.26866,3,2,seek,FALSE
terrain,enemy,69.25201,3,2,seek,FALSE
terrain,enemy,68.23628,3,2,seek,FALSE
terrain,enemy,67.221436,3,2,seek,FALSE
terrain,enemy,66.20741,3,2,seek,FALSE
terrain,enemy,65.1942,3,2,seek,FALSE
terrain,enemy,64.18175,3,2,seek,FALSE
terrain,enemy,63.170025,3,2,seek,FALSE
terrain,enemy,62.15901,3,2,seek,FALSE
terrain,enemy,61.148678,3,2,seek,FALSE
terrain,enemy,60.138977,3,2,seek,FALSE
terrain,enemy,59.129894,3,2,seek,FALSE
terrain,enemy,58.12135,3,2,seek,FALSE
terrain,enemy,57.11335,3,2,seek,FALSE
terrain,enemy,56.105938,3,2,seek,FALSE
terrain,enemy,55.09902,3,2,seek,FALSE
terrain,enemy,54.092567,3,2,seek,FALSE
terrain,enemy,53.086514,3,2,seek,FALSE
terrain,enemy,52.0809,3,2,seek,FALSE
terrain,enemy,51.075695,3,2,seek,FALSE
terrain,enemy,50.070904,3,2,seek,FALSE
terrain,enemy,49.066444,3,2,seek,FALSE
terrain,enemy,48.062305,3,2,seek,FALSE
terrain,enemy,47.058483,3,2,seek,FALSE
terrain,enemy,46.05496,3,2,seek,FALSE
terrain,enemy,45.05174,3,2,seek,FALSE
terrain,enemy,44.048763,3,2,seek,FALSE
terrain,enemy,43.04608,3,2,seek,FALSE
terrain,enemy,42.043583,3,2,seek,FALSE
terrain,enemy,41.04131,3,2,seek,FALSE
terrain,enemy,40.03922,3,2,seek,FALSE
terrain,enemy,39.037327,3,2,seek,FALSE
terrain,enemy,38.03562,3,2,seek,FALSE
terrain,enemy,37.03406,3,2,seek,FALSE
terrain,enemy,36.03265,3,2,seek,FALSE
terrain,enemy,35.031403,3,2,seek,FALSE
terrain,enemy,34.767082,3,2,wander,FALSE
terrain,enemy,34.60044,3,2,wander,FALSE
terrain,enemy,34.53048,3,2,wander,FALSE
terrain,enemy,34.555428,3,2,wander,FALSE
terrain,enemy,34.672768,3,2,wander,FALSE
terrain,enemy,34.879253,3,2,wander,FALSE
terrain,enemy,35.170998,3,2,wander,FALSE
terrain,enemy,35.54374,3,2,wander,FALSE
terrain,enemy,35.992706,3,2,wander,FALSE
terrain,enemy,36.512966,3,2,wander,FALSE
terrain,enemy,37.099365,3,2,wander,FALSE
terrain,enemy,37.74683,3,2,wander,FALSE
terrain,enemy,38.450264,3,2,wander,FALSE
terrain,enemy,39.20475,3,2,wander,FALSE
terrain,enemy,40.005447,3,2,wander,FALSE
terrain,enemy,40.847847,3,2,wander,FALSE
terrain,enemy,41.727615,3,2,wander,FALSE
terrain,enemy,42.64075,3,2,wander,FALSE
terrain,enemy,43.58347,3,2,wander,FALSE
terrain,enemy,44.55225,3,2,wander,FALSE
terrain,enemy,45.543888,3,2,wander,FALSE
terrain,enemy,46.555344,3,2,wander,FALSE
terrain,enemy,47.583946,3,2,wander,FALSE
terrain,enemy,48.62714,3,2,wander,FALSE
terrain,enemy,49.682533,3,2,wander,FALSE
terrain,enemy,50.748108,3,2,wander,FALSE
terrain,enemy,51.821915,3,2,wander,FALSE
terrain,enemy,52.902153,3,2,wander,FALSE
